,AT,V,AP,RH,PE
2776,4.41,42.07,1005.54,68.85,488.36
2777,15.82,44.88,1018.59,78.88,461.9
2778,24.65,72.43,1007.99,90.05,437.59
2779,19.02,52.72,1025.44,51.9,461.57
2780,23.32,69.13,1010.75,91.84,435.27
2781,23.99,68.12,1012.92,70.68,437.14
2782,10.12,39.96,1025.98,98.63,471.6
2783,12.53,43.56,1014.8,74.05,469.23
2784,18.11,52.08,1002.51,100.09,449.99
2785,24.94,59.07,1008.89,84.79,440.12
2786,30.92,59.57,1010.87,62.43,440.96
2787,12.68,45.01,1013.86,83.26,448.69
2788,25.41,66.49,1014.06,51.09,449.2
2789,14.12,39.4,1008.02,76.45,468.63
2790,28.33,64.96,999.71,69.66,427.42
2791,14.77,49.15,1020.56,80.27,467.72
2792,29.0,70.72,1009.51,67.72,437.55
2793,18.02,49.78,1003.86,100.09,451.41
2794,11.55,40.6,1014.44,87.06,475.14
2795,15.31,52.75,1025.21,55.22,460.77
2796,12.36,37.73,1021.36,65.45,470.39
2797,19.45,58.95,1017.79,93.46,445.1
2798,27.05,67.79,1010.99,71.37,443.89
2799,9.73,40.22,1011.48,87.88,481.42
2800,11.11,37.5,1013.68,73.67,473.32
2801,13.01,41.58,1020.82,78.41,464.64
2802,11.76,40.96,1023.22,81.31,475.18
2803,17.58,39.63,1004.84,80.43,467.33
2804,27.54,51.43,1012.3,54.82,439.8
2805,29.79,77.17,1009.68,64.0,432.84
2806,13.83,40.2,1013.28,90.44,465.53
2807,32.05,77.24,1008.06,67.09,432.49
2808,28.14,76.86,1000.7,70.17,434.68
2809,34.11,73.56,1006.77,45.92,432.78
2810,22.83,70.79,1006.36,92.07,438.0
2811,21.04,47.43,1007.15,64.82,450.27
2812,12.39,40.75,1016.05,81.91,475.96
2813,27.7,72.24,1011.02,67.6,434.56
2814,16.62,39.99,1007.07,77.14,463.74
2815,25.27,67.07,1006.34,66.35,445.81
2816,9.52,41.26,1020.55,89.73,475.44
2817,17.74,58.33,1013.55,81.8,446.01
2818,22.9,49.3,1003.45,80.95,441.77
2819,14.86,43.14,1019.21,99.14,461.14
2820,26.71,66.25,1008.11,79.28,435.41
2821,13.42,42.86,1013.88,85.13,473.27
2822,25.82,72.39,1003.4,86.33,432.98
2823,15.14,44.21,1019.97,83.86,463.1
2824,10.17,41.17,1018.58,87.72,478.04
2825,27.44,65.59,1010.76,68.67,441.08
2826,23.94,63.21,1013.52,83.12,440.15
2827,25.16,74.33,1014.55,76.7,436.15
2828,12.88,42.74,1026.25,74.54,470.89
2829,31.87,67.32,1013.65,36.69,435.47
2830,22.18,65.46,1016.74,54.02,447.92
2831,9.41,41.54,1019.48,82.19,481.59
2832,12.17,40.6,1013.59,88.62,473.76
2833,30.57,69.71,1008.94,59.99,439.38
2834,28.16,70.98,1008.51,72.12,435.04
2835,9.72,43.41,1016.25,76.39,474.1
2836,11.9,39.16,1016.53,84.59,477.75
2837,7.1,41.74,1022.25,91.07,484.12
2838,11.47,40.27,1005.39,77.4,479.44
2839,28.19,67.45,1013.97,49.76,434.77
2840,9.75,36.66,1026.21,70.12,479.45
2841,7.55,43.65,1019.09,61.71,481.61
2842,19.9,56.53,1020.52,78.05,456.48
2843,12.45,40.56,1017.84,66.52,477.41
2844,9.15,39.61,1018.11,75.29,474.88
2845,14.38,40.66,1016.34,92.37,463.1
2846,26.16,67.9,1005.81,61.02,444.06
2847,22.63,45.61,1014.14,73.06,457.88
2848,30.51,70.79,1004.55,56.05,428.79
2849,26.2,60.07,1014.75,59.41,440.89
2850,25.77,69.04,1009.66,65.49,445.35
2851,14.74,44.47,1028.29,67.87,462.92
2852,17.02,44.85,1014.38,62.66,459.98
2853,17.68,53.16,1013.09,82.79,456.86
2854,8.93,40.46,1019.03,71.0,472.77
2855,9.49,40.69,1015.09,91.31,476.67
2856,23.48,72.99,1009.61,88.16,437.1
2857,22.69,49.21,1012.64,46.83,449.01
2858,12.65,44.34,1019.4,71.45,468.8
2859,12.79,44.68,1022.51,99.55,465.75
2860,13.01,41.17,1017.26,76.2,469.48
2861,30.76,69.14,1007.63,71.24,431.67
2862,22.56,47.43,1006.72,54.82,448.65
2863,20.7,58.16,1016.73,68.19,453.22
2864,21.09,50.9,1012.42,69.09,456.09
2865,26.35,59.44,1012.16,63.73,443.73
2866,35.1,68.27,1006.96,43.51,426.3
2867,14.43,38.28,1014.76,79.76,467.12
2868,16.32,43.56,1014.4,59.77,463.57
2869,12.21,40.64,1020.31,83.84,464.03
2870,32.13,69.98,1013.3,55.85,431.84
2871,25.68,70.32,1009.08,90.48,431.32
2872,24.4,62.26,1011.62,70.1,439.06
2873,6.41,40.81,1026.57,93.51,484.49
2874,23.38,65.06,1014.12,59.36,443.8
2875,30.21,75.33,1002.24,66.71,431.46
2876,22.88,50.23,1016.11,63.77,458.08
2877,27.99,71.58,1010.68,68.99,435.99
2878,16.01,49.64,1026.35,77.75,457.8
2879,31.08,59.57,1010.76,60.49,442.88
2880,23.09,70.02,1010.58,77.85,443.27
2881,21.03,69.05,1002.17,75.35,444.35
2882,12.05,49.83,1008.54,95.11,454.18
2883,14.73,54.3,1016.75,67.13,463.63
2884,32.56,68.14,1004.02,35.04,425.11
2885,6.99,40.07,1014.83,54.36,490.11
2886,18.84,40.79,1005.18,92.46,459.96
2887,6.18,41.38,1020.23,81.38,490.81
2888,13.72,49.83,1006.88,89.49,463.65
2889,29.48,59.27,1010.99,51.23,440.72
2890,14.35,39.39,1012.92,82.41,470.53
2891,19.47,43.43,1011.66,69.93,451.38
2892,26.92,73.17,1011.42,76.94,431.29
2893,26.16,70.04,1009.63,73.22,432.56
2894,19.77,49.39,1019.02,91.03,451.05
2895,26.92,62.44,1011.09,70.8,437.99
2896,27.54,75.6,1018.26,57.89,440.87
2897,18.75,41.1,1001.97,59.6,458.31
2898,26.29,68.24,1010.71,76.95,429.71
2899,27.16,65.61,1014.21,47.93,441.33
2900,16.0,39.16,1016.37,77.63,468.49
2901,10.38,37.73,1021.5,75.02,475.02
2902,30.29,74.16,1008.77,75.23,431.39
2903,24.69,71.73,1010.13,70.54,436.78
2904,14.16,40.89,1010.78,82.86,471.15
2905,9.97,39.99,1010.09,95.0,477.31
2906,21.96,51.43,1007.28,89.96,442.87
2907,32.43,68.31,1010.09,42.22,439.75
2908,27.99,69.89,1013.94,51.25,435.79
2909,18.15,45.01,1013.06,72.4,455.21
2910,8.83,43.56,1014.9,81.55,482.43
2911,26.62,70.36,1005.15,84.99,441.28
2912,32.96,68.31,1010.39,42.33,443.57
2913,24.67,68.61,1010.71,57.47,450.64
2914,27.06,70.47,1007.0,72.37,430.82
2915,25.0,69.71,1009.23,80.92,438.38
2916,15.47,38.73,1001.13,77.61,467.96
2917,17.36,41.23,998.08,63.46,459.1
2918,29.62,70.02,1010.09,43.1,439.35
2919,13.54,40.69,1015.85,77.55,471.05
2920,24.52,59.15,1014.03,74.83,439.55
2921,9.73,38.56,1017.18,61.81,479.78
2922,20.6,65.12,1015.53,71.57,452.86
2923,25.16,68.08,1010.89,70.16,435.78
2924,20.86,63.73,1008.54,96.83,440.42
2925,10.31,45.01,1018.42,93.67,473.74
2926,20.37,69.48,1011.04,84.31,445.81
2927,17.58,44.9,1020.52,71.48,459.78
2928,19.04,51.86,1018.05,79.01,458.64
2929,25.38,71.73,1009.97,72.6,434.44
2930,32.81,77.17,1009.17,53.13,430.53
2931,19.41,67.32,1012.34,78.8,446.71
2932,21.73,69.05,1001.31,86.64,439.01
2933,22.29,56.89,1014.39,84.89,441.9
2934,29.39,71.14,1010.97,53.88,430.5
2935,20.08,58.12,1015.53,80.84,455.85
2936,16.51,51.86,1022.37,81.18,442.48
2937,14.47,42.99,1009.78,91.15,469.0
2938,17.37,40.55,1001.19,71.42,460.97
2939,17.03,43.99,1021.5,82.32,460.25
2940,25.91,67.07,1005.66,60.12,441.74
2941,6.03,40.78,1025.53,98.68,480.36
2942,31.9,73.42,1010.82,60.58,432.27
2943,20.03,47.45,1009.04,77.56,450.6
2944,31.23,68.67,1005.82,52.1,436.58
2945,13.8,45.08,1023.99,79.72,466.71
2946,15.52,41.93,1022.97,52.92,471.97
2947,23.68,51.3,1011.86,71.24,451.67
2948,23.25,70.32,1009.28,86.52,437.96
2949,24.58,49.02,1008.85,79.32,442.47
2950,8.3,36.3,1015.97,60.62,480.58
2951,9.27,42.02,1004.29,95.05,474.93
2952,15.52,42.86,1015.09,83.48,467.12
2953,30.71,68.24,1006.15,34.15,429.41
2954,11.47,25.36,1008.27,95.4,469.51
2955,30.51,70.94,1007.64,59.42,430.91
2956,26.43,66.48,1004.36,55.9,435.59
2957,28.65,70.32,1008.46,58.13,433.45
2958,21.38,49.21,1012.49,53.77,449.66
2959,19.97,59.21,1017.87,83.46,450.41
2960,19.38,54.9,1017.08,70.46,454.1
2961,17.77,44.6,1016.97,54.25,460.13
2962,7.04,41.74,1021.91,88.55,488.99
2963,30.3,69.51,1011.8,50.43,431.12
2964,14.91,43.34,1015.15,81.56,461.27
2965,26.87,69.23,1012.71,54.54,433.89
2966,18.86,51.43,1010.27,86.0,446.91
2967,20.77,43.77,1010.76,63.12,453.46
2968,12.2,44.77,1018.64,76.1,469.41
2969,16.17,41.79,1005.78,78.8,454.72
2970,11.69,35.76,1019.02,55.6,471.72
2971,9.17,40.67,1019.03,66.21,487.33
2972,10.82,42.02,996.03,99.34,475.46
2973,23.08,48.41,1008.44,82.35,443.5
2974,12.74,39.13,1008.19,94.81,468.57
2975,26.85,57.19,1007.9,60.04,438.01
2976,28.44,69.4,1003.98,73.51,433.44
2977,14.02,42.86,1030.86,68.36,467.29
2978,14.57,41.79,1007.61,82.85,457.21
2979,15.4,40.69,1015.1,70.25,471.66
2980,16.75,42.23,1013.81,84.98,464.87
2981,29.83,68.67,1005.33,71.15,434.28
2982,26.25,66.56,1008.29,60.65,436.3
2983,27.17,63.09,1015.59,68.33,443.66
2984,27.49,71.94,1008.25,68.29,428.27
2985,11.7,41.16,1017.98,95.71,462.94
2986,24.37,73.42,1010.19,76.01,440.29
2987,26.14,61.02,1010.13,66.71,436.17
2988,15.91,38.62,1016.2,63.63,462.25
2989,9.24,41.4,1030.72,87.36,476.9
2990,14.09,41.66,1009.25,71.4,469.93
2991,10.61,37.5,1008.8,100.13,472.9
2992,28.72,76.86,999.31,71.74,431.74
2993,16.61,25.88,1009.34,65.47,460.97
2994,24.35,51.86,1014.34,67.22,442.81
2995,26.95,72.24,1011.16,73.14,435.65
2996,13.89,41.49,1020.02,86.47,469.6
2997,20.98,47.43,1007.39,68.15,450.0
2998,24.74,63.87,1016.91,55.65,447.02
2999,16.12,45.87,1008.15,86.12,457.41
3000,20.94,44.58,1016.98,59.65,463.69
3001,21.01,58.96,1014.33,61.8,453.88
3002,6.52,35.57,1025.37,78.32,486.06
3003,13.14,43.71,1024.47,87.42,467.07
3004,13.93,44.47,1025.35,81.54,469.25
3005,14.46,45.87,1009.21,84.09,464.5
3006,21.83,62.91,1011.07,91.34,443.76
3007,9.97,41.26,1020.6,91.14,475.43
3008,15.09,43.13,1015.71,54.36,466.87
3009,25.63,71.58,1010.14,87.57,433.76
3010,24.17,71.58,1010.16,89.96,436.27
3011,18.6,43.56,1013.9,51.16,464.67
3012,31.05,69.13,1000.38,58.49,426.31
3013,10.19,37.14,1012.74,73.48,475.01
3014,13.26,41.78,1009.77,61.69,467.78
3015,9.66,41.82,1033.19,73.19,477.67
3016,23.6,62.44,1011.52,78.12,440.66
3017,15.91,71.14,1019.7,72.65,458.15
3018,8.79,40.67,1019.5,66.3,489.02
3019,30.88,67.83,1008.97,54.99,425.36
3020,20.98,60.07,1016.26,67.18,446.26
3021,14.2,42.86,1031.96,69.59,468.63
3022,25.69,57.32,1012.34,44.18,441.43
3023,23.65,59.92,1010.19,89.53,436.74
3024,15.48,44.99,1011.94,69.95,463.92
3025,10.64,39.61,1018.33,66.81,471.48
3026,14.48,38.92,1015.6,90.05,470.63
3027,10.47,43.14,1010.35,86.86,476.55
3028,24.65,63.86,1018.37,56.15,442.89
3029,16.2,45.76,1014.73,89.84,460.87
3030,28.61,52.84,1006.0,45.73,437.39
3031,23.13,61.47,1008.96,85.5,438.8
3032,13.55,42.99,1007.58,97.55,470.82
3033,18.71,54.9,1017.12,74.79,456.88
3034,14.35,49.83,1006.39,91.23,462.54
3035,29.79,69.34,1008.82,65.13,434.74
3036,29.64,54.2,1013.0,39.56,438.12
3037,15.11,45.01,1017.01,84.39,462.21
3038,25.02,60.29,1017.49,54.75,445.61
3039,23.61,49.16,1002.39,65.63,443.5
3040,16.05,38.28,1014.38,73.89,466.75
3041,19.59,59.87,1018.28,84.83,449.74
3042,23.23,56.89,1012.87,75.43,441.85
3043,9.41,43.5,1021.0,88.74,473.84
3044,6.63,39.37,1020.33,76.18,489.16
3045,27.89,69.88,1007.99,85.62,430.75
3046,22.54,51.95,1007.29,79.28,447.29
3047,14.0,40.8,1026.17,54.82,474.87
3048,6.87,39.85,1012.66,83.34,486.26
3049,30.47,70.02,1009.65,62.03,435.72
3050,27.33,68.94,1007.04,61.83,431.96
3051,13.7,34.03,1018.82,69.07,470.2
3052,22.03,59.43,1006.88,82.05,442.9
3053,30.32,74.22,1008.31,53.14,429.36
3054,17.13,43.79,1016.09,58.94,465.3
3055,26.3,71.94,1006.64,85.12,428.83
3056,17.55,48.78,1016.81,91.27,455.11
3057,23.34,59.14,1017.47,78.91,439.6
3058,23.26,58.2,1016.72,57.98,446.87
3059,8.07,41.17,1019.4,86.43,484.54
3060,24.45,68.63,1013.38,45.35,446.33
3061,18.41,49.69,1006.66,80.55,454.97
3062,18.22,58.2,1017.09,81.92,451.04
3063,16.54,42.86,1014.85,78.0,465.26
3064,30.01,65.18,1012.87,43.95,436.91
3065,29.19,67.51,1011.48,55.55,446.97
3066,14.58,41.92,1030.42,61.96,462.69
3067,19.41,64.45,1009.44,64.05,452.55
3068,18.95,65.48,1018.17,71.85,452.85
3069,11.36,40.75,1016.34,85.19,477.5
3070,23.79,58.49,1011.0,75.39,445.87
3071,16.55,41.93,1022.71,42.73,466.77
3072,21.43,59.14,1015.91,64.4,448.51
3073,18.98,60.1,1010.09,85.34,453.37
3074,16.38,55.5,1019.8,82.44,464.58
3075,23.26,59.21,1017.71,67.16,442.38
3076,22.55,69.84,1006.57,76.29,438.54
3077,10.01,40.78,1023.71,88.11,470.82
3078,23.33,54.2,1012.47,79.48,440.11
3079,20.89,68.63,1012.6,69.52,452.05
3080,14.18,53.82,1016.9,64.57,465.25
3081,8.94,42.07,1018.9,85.93,473.34
3082,28.61,69.84,1004.02,67.26,428.25
3083,28.59,75.08,1005.58,60.3,442.7
3084,13.91,40.24,1017.03,85.93,466.24
3085,32.21,71.85,1008.25,58.09,429.15
3086,15.34,43.5,1021.18,79.44,459.77
3087,27.0,69.34,1008.88,74.4,439.26
3088,23.63,65.59,1013.1,76.95,440.56
3089,6.79,38.5,1012.61,72.46,488.69
3090,9.01,40.77,1022.37,90.3,470.84
3091,17.92,44.2,1018.97,53.8,455.37
3092,9.05,40.67,1015.57,75.48,486.55
3093,24.17,73.18,1011.72,86.1,437.27
3094,26.92,63.73,1010.29,68.6,440.35
3095,15.59,52.75,1024.3,59.93,458.87
3096,10.17,41.46,1019.34,83.04,480.13
3097,10.66,37.5,1009.42,95.86,472.86
3098,32.48,69.89,1013.98,46.39,434.13
3099,29.05,68.24,1007.88,42.67,433.92
3100,32.91,73.68,1014.49,50.62,426.28
3101,6.1,40.07,1020.21,67.24,494.43
3102,25.11,63.21,1012.21,83.58,443.43
3103,7.89,71.14,1018.4,86.49,474.66
3104,22.82,69.94,1004.65,73.47,437.32
3105,14.13,43.41,1015.26,55.63,461.96
3106,9.32,36.3,1027.9,77.02,478.55
3107,11.86,40.55,1019.82,91.45,473.31
3108,10.05,40.46,1018.71,67.38,469.06
3109,11.22,40.22,1011.01,81.67,476.7
3110,31.68,70.79,1004.05,54.5,429.55
3111,10.27,42.34,1022.69,92.78,474.55
3112,9.34,40.77,1012.14,90.81,477.36
3113,28.83,66.44,1008.47,77.49,430.01
3114,24.01,67.17,1007.44,86.87,443.09
3115,9.68,41.48,1018.24,71.04,473.31
3116,14.86,44.71,1018.3,49.46,466.38
3117,8.74,36.3,1015.18,61.97,438.63
3118,16.55,46.18,1009.97,96.54,455.8
3119,27.65,48.41,1008.54,58.25,440.94
3120,10.1,41.17,1019.18,84.87,479.95
3121,28.75,64.84,1009.61,58.24,441.3
3122,18.75,63.09,1018.19,87.84,450.98
3123,18.32,45.0,1022.67,46.38,471.43
3124,28.62,68.24,1010.15,69.31,428.08
3125,11.46,39.1,1010.17,100.15,470.55
3126,13.92,43.41,1015.12,61.64,464.76
3127,22.89,74.78,1009.79,81.57,443.7
3128,21.13,47.43,1006.97,64.26,448.83
3129,24.78,68.94,1007.29,70.56,435.93
3130,17.03,47.83,1004.94,79.68,460.43
3131,25.41,65.12,1016.01,53.39,442.86
3132,21.47,60.93,1006.46,87.83,442.75
3133,10.8,41.39,1019.74,74.08,478.75
3134,11.67,36.18,1016.03,61.44,472.76
3135,19.61,56.65,1020.64,63.74,457.41
3136,21.48,47.43,1006.88,63.54,449.2
3137,21.48,66.91,1008.58,84.49,447.42
3138,14.17,43.13,1014.94,48.62,471.08
3139,24.15,64.63,1020.72,58.06,448.87
3140,28.81,69.23,1013.14,39.18,433.74
3141,16.53,46.18,1010.2,95.42,458.67
3142,22.1,68.12,1012.71,79.77,440.08
3143,16.22,50.88,1014.33,100.09,454.94
3144,10.9,40.67,1016.66,65.09,482.4
3145,13.9,40.2,1013.13,89.91,464.17
3146,30.61,77.17,1009.49,73.19,430.46
3147,5.9,45.87,1013.25,87.0,481.27
3148,5.67,45.87,1008.91,93.29,478.44
3149,17.82,65.94,1013.44,88.13,452.82
3150,9.34,41.49,1020.58,97.59,471.04
3151,27.07,66.93,1017.32,55.38,446.48
3152,25.52,71.98,1006.89,86.94,433.42
3153,33.37,79.05,1007.19,62.64,430.42
3154,22.25,66.54,1004.64,89.15,437.19
3155,28.34,63.77,1013.7,61.13,439.75
3156,32.87,71.32,1004.36,54.69,433.15
3157,9.84,40.72,1022.21,77.79,477.52
3158,15.8,53.82,1015.87,68.48,463.09
3159,21.96,71.85,1009.38,75.98,441.52
3160,8.3,40.35,1012.37,98.17,481.77
3161,8.39,36.3,1015.39,62.23,479.57
3162,12.55,39.58,1010.68,76.9,472.31
3163,24.37,65.61,1014.5,65.67,443.13
3164,33.43,69.88,1006.86,44.84,435.59
3165,13.04,41.04,1026.27,69.75,464.91
3166,13.52,39.39,1012.91,84.03,474.82
3167,11.46,38.91,1012.34,77.37,477.5
3168,19.75,57.32,1010.76,79.29,443.63
3169,7.19,39.37,1019.67,70.77,480.4
3170,26.76,70.98,1007.64,90.51,437.83
3171,29.67,71.98,1005.16,67.75,425.14
3172,32.86,66.44,1010.98,44.99,429.32
3173,10.02,52.75,1021.93,73.68,473.09
3174,17.41,40.55,1003.91,76.87,461.47
3175,26.53,65.61,1014.29,50.9,442.64
3176,29.82,69.75,1010.09,65.02,442.6
3177,30.56,69.14,1007.49,71.0,432.26
3178,13.92,43.5,1021.14,88.44,461.45
3179,19.94,38.52,1018.4,55.9,450.48
3180,21.03,44.78,1007.99,36.82,459.72
3181,31.33,65.18,1011.97,36.62,435.77
3182,11.7,41.16,1019.58,87.49,464.12
3183,16.94,50.59,1018.75,94.22,460.64
3184,26.06,67.83,1009.26,66.37,432.28
3185,15.39,42.28,1007.35,81.35,467.3
3186,10.98,37.5,1011.12,97.51,472.34
3187,28.41,74.16,1010.29,72.09,439.2
3188,4.88,40.27,1012.66,74.51,491.29
3189,6.58,40.67,1020.18,71.07,494.84
3190,13.79,40.0,1016.02,70.17,461.16
3191,27.16,71.32,1007.81,89.07,430.53
3192,7.65,41.01,1024.31,97.17,475.89
3193,16.3,41.16,1007.88,76.61,463.47
3194,23.04,63.86,1019.83,59.78,446.22
3195,25.74,65.38,1009.6,54.34,452.94
3196,24.31,44.05,1006.16,73.3,442.69
3197,23.43,69.23,1013.09,63.48,441.6
3198,14.91,46.9,1019.59,98.1,461.73
3199,31.28,75.08,1005.39,49.53,438.63
3200,25.84,67.83,1009.26,59.55,433.32
3201,24.57,49.82,1016.82,65.25,452.3
3202,13.42,48.04,1011.63,99.32,461.36
3203,25.31,65.59,1011.16,79.71,440.96
3204,22.78,59.92,1011.28,88.78,440.87
3205,20.19,58.86,1014.3,71.64,450.67
3206,17.98,39.63,1005.42,82.12,466.69
3207,22.71,75.23,1010.48,76.86,444.0
3208,13.68,41.7,1019.19,84.07,464.46
3209,24.87,65.75,1006.45,65.75,435.6
3210,7.53,41.74,1022.45,90.85,487.25
3211,24.97,68.61,1011.0,55.04,453.26
3212,13.55,40.71,1019.13,75.44,467.21
3213,8.66,40.11,1032.86,75.31,479.76
3214,16.84,45.01,1016.14,75.74,456.85
3215,23.05,68.67,1006.69,76.43,447.34
3216,17.7,49.78,1005.19,100.09,451.24
3217,19.39,68.61,1011.09,96.51,446.47
3218,30.05,56.9,1007.02,41.96,437.55
3219,19.82,63.9,1013.19,78.96,449.61
3220,19.1,56.53,1020.18,76.38,455.52
3221,17.47,43.56,1014.15,54.71,460.87
3222,23.86,45.87,1007.71,48.73,446.67
3223,26.31,63.77,1014.15,69.36,440.1
3224,26.74,69.89,1013.96,51.82,436.02
3225,9.94,40.46,1018.9,68.51,473.74
3226,27.01,71.25,1000.46,87.95,431.38
3227,21.01,51.19,1008.44,81.49,446.2
3228,34.97,73.56,1006.57,44.69,435.15
3229,22.51,68.63,1015.1,57.19,450.75
3230,21.03,67.45,1015.01,68.59,447.11
3231,29.05,75.6,1017.63,51.16,439.14
3232,23.6,57.17,1009.84,74.27,446.05
3233,5.62,43.65,1017.9,77.43,481.69
3234,21.16,65.48,1016.99,72.79,446.37
3235,21.89,58.62,1016.15,74.59,450.05
3236,9.66,40.05,1015.78,89.06,481.14
3237,25.69,59.07,1006.89,82.34,440.6
3238,8.33,38.08,1018.94,73.78,481.89
3239,7.32,41.22,1015.42,97.25,484.21
3240,21.11,41.67,1012.44,52.86,460.33
3241,12.25,40.75,1016.02,82.4,475.07
3242,24.57,51.95,1005.8,70.07,448.15
3243,16.64,48.92,1011.55,78.76,452.56
3244,11.57,41.54,1020.13,69.14,476.89
3245,29.23,75.6,1017.72,52.26,438.92
3246,32.37,67.83,1008.32,57.39,426.76
3247,26.17,58.86,1014.52,51.28,443.69
3248,6.05,38.68,1017.46,66.13,483.5
3249,8.64,41.66,1014.14,80.44,481.89
3250,25.91,75.6,1018.23,62.65,443.2
3251,25.02,59.92,1009.9,76.27,436.64
3252,25.96,68.08,1010.86,67.07,435.84
3253,25.5,59.27,1012.92,68.88,442.65
3254,14.85,45.01,1013.12,85.53,460.19
3255,19.06,44.63,1004.23,84.43,456.54
3256,15.22,41.67,1013.18,67.17,469.93
3257,26.07,71.37,1008.6,79.48,439.25
3258,7.62,44.71,1020.56,69.96,486.07
3259,16.94,49.64,1024.43,69.22,459.25
3260,26.18,69.14,1006.54,85.95,436.0
3261,21.91,48.7,1006.89,83.97,449.8
3262,23.24,63.78,1017.1,63.8,446.95
3263,22.48,50.05,1005.55,82.36,442.56
3264,12.8,41.16,1022.43,86.19,462.72
3265,26.17,66.54,1002.23,75.6,433.81
3266,29.71,73.18,1012.35,63.06,427.04
3267,7.41,39.16,1015.23,90.66,486.91
3268,16.25,58.16,1018.34,78.59,458.31
3269,14.28,44.84,1024.84,79.09,474.57
3270,22.12,47.93,1005.5,84.47,443.41
3271,23.06,63.9,1013.54,65.28,447.36
3272,13.46,39.85,1012.76,72.94,472.5
3273,26.76,49.02,1007.96,70.05,439.4
3274,28.57,51.43,1012.02,47.79,450.04
3275,10.31,38.18,1018.02,70.1,476.31
3276,28.47,69.23,1013.18,40.73,434.12
3277,8.35,40.77,1011.77,90.25,478.82
3278,24.42,57.32,1011.46,55.92,443.94
3279,25.64,50.05,1006.97,67.72,440.86
3280,7.69,39.96,1023.9,89.18,478.05
3281,11.54,45.51,1017.19,83.02,474.73
3282,15.62,40.89,1007.01,79.21,466.15
3283,18.74,45.09,1014.24,41.54,456.25
3284,20.12,65.94,1009.93,76.24,447.46
3285,17.85,48.14,1017.16,86.68,451.9
3286,17.21,52.9,1019.91,77.31,460.88
3287,20.99,67.07,1005.17,82.41,442.02
3288,17.69,46.36,1019.55,86.64,462.81
3289,20.58,49.15,1021.42,56.15,453.87
3290,12.04,38.25,1013.08,82.45,472.13
3291,29.07,71.64,1006.07,69.53,440.51
3292,21.81,65.46,1013.97,52.16,444.66
3293,9.48,40.8,1023.82,78.98,485.36
3294,13.69,44.85,1016.89,79.87,470.78
3295,32.18,69.75,1009.94,52.91,438.26
3296,23.48,60.23,1011.91,79.48,437.44
3297,27.82,76.09,1007.83,76.07,434.52
3298,25.26,74.33,1014.79,79.56,433.49
3299,14.12,42.99,1007.13,78.16,468.45
3300,23.14,60.27,1018.51,80.54,442.59
3301,17.74,50.88,1015.56,89.78,457.71
3302,10.15,41.17,1019.38,82.3,480.71
3303,8.35,43.79,1016.2,85.23,484.21
3304,20.35,68.61,1011.17,86.69,450.89
3305,22.06,45.61,1014.3,77.75,455.61
3306,15.64,44.21,1020.17,83.28,462.42
3307,9.32,36.66,1027.46,70.76,479.13
3308,29.28,65.71,1013.76,48.05,445.49
3309,7.52,39.61,1018.61,78.96,481.54
3310,29.08,67.79,1010.91,55.96,442.78
3311,7.55,42.85,1011.21,93.25,484.93
3312,26.51,44.57,1007.56,52.23,445.32
3313,26.52,63.94,1018.23,42.41,440.47
3314,8.07,41.17,1019.4,86.43,484.54
3315,25.35,63.21,1012.31,80.16,442.23
3316,11.36,41.48,1012.8,76.16,465.37
3317,11.89,40.64,1021.29,97.16,476.99
3318,20.19,66.86,1012.97,64.7,454.84
3319,20.04,48.92,1011.14,68.92,447.89
3320,10.32,39.28,1016.56,94.13,478.88
3321,12.01,41.48,1017.75,66.67,469.08
3322,23.08,61.86,1013.44,84.64,441.44
3323,19.81,66.54,1013.88,80.09,449.07
3324,24.1,71.29,1007.96,67.56,442.8
3325,14.47,39.58,1011.31,69.85,467.34
3326,32.25,77.54,1010.46,54.57,430.86
3327,9.51,40.81,1015.69,82.52,475.29
3328,12.63,41.48,1009.61,87.69,461.09
3329,30.91,76.2,1008.53,58.08,434.94
3330,8.38,39.22,1015.03,75.14,478.82
3331,22.63,57.17,1009.83,77.43,433.54
3332,5.71,40.77,1022.49,87.9,487.48
3333,13.09,43.67,1012.22,91.91,474.45
3334,22.72,62.4,1010.28,80.79,445.22
3335,23.67,72.24,1011.22,90.45,435.94
3336,18.19,43.96,1011.87,79.68,464.58
3337,25.58,47.01,1014.5,63.53,454.39
3338,6.79,40.0,1019.01,81.83,480.83
3339,19.05,62.96,1020.48,83.04,454.26
3340,25.32,63.77,1014.55,74.69,441.5
3341,15.09,39.52,1017.05,72.43,469.8
3342,23.44,72.24,1011.28,88.03,438.34
3343,8.26,44.71,1020.85,68.82,485.19
3344,17.22,36.71,1013.77,67.92,465.32
3345,27.46,68.08,1013.06,46.49,433.72
3346,11.52,40.03,1017.56,87.87,472.31
3347,27.55,63.13,1012.92,71.29,440.75
3348,6.5,38.5,1013.92,90.1,486.78
3349,13.35,39.58,1012.41,83.45,465.85
3350,21.5,59.87,1019.05,76.56,444.05
3351,22.46,48.41,1008.66,80.85,442.57
3352,22.05,63.31,1012.39,76.95,444.37
3353,18.28,41.1,1002.0,65.69,460.03
3354,14.56,53.82,1016.37,64.46,463.64
3355,26.0,70.47,1009.61,74.66,435.05
3356,13.14,40.66,1016.47,94.76,466.95
3357,24.17,59.44,1012.66,78.53,447.13
